,tour_points
Brisbane,250
Chennai,250
Doha,250
Auckland,250
Sydney,250
Australian Open,2000
Johannesburg,250
Santiago,250
Zagreb,250
Costa Do Sauipe,250
Rotterdam,500
San Jose,250
Buenos Aires,250
Marseille,250
Memphis,500
Acapulco,500
Delray Beach,250
Dubai,500
Indian Wells Masters,1000
Miami Masters,1000
Casablanca,250
Houston,250
Monte Carlo Masters,1000
Barcelona,500
Rome Masters,1000
Munich,250
Belgrade,250
Estoril,250
Madrid Masters,1000
Dusseldorf,250
Nice,250
Roland Garros,2000
Halle,500
Queen's Club,500
Eastbourne,250
s Hertogenbosch,250
Wimbledon,2000
Newport,250
Bastad,250
Stuttgart,500
Atlanta,250
Hamburg,500
Gstaad,250
Los Angeles,250
Umag,250
Washington,250
Canada Masters,1000
Cincinnati Masters,1000
New Haven,500
US Open,2000
Bucharest,250
Metz,250
Bangkok,250
Kuala Lumpur,250
Beijing,500
Tokyo,500
Shanghai Masters,1000
Moscow,250
Stockholm,250
Montpellier,250
St. Petersburg,250
Vienna,500
Valencia,500
Basel,500
Paris Masters,1000
Tour Finals,1500
Brisbane,250
Chennai,250
Doha,250
Auckland,250
Sydney,250
Australian Open,2000
Johannesburg,250
Santiago,250
Zagreb,250
Costa Do Sauipe,250
Rotterdam,500
San Jose,250
Buenos Aires,250
Marseille,250
Memphis,500
Acapulco,500
Delray Beach,250
Dubai,500
Indian Wells Masters,1000
Miami Masters,1000
Casablanca,250
Houston,250
Monte Carlo Masters,1000
Barcelona,500
Munich,250
Belgrade,250
Estoril,250
Madrid Masters,1000
Rome Masters,1000
Dusseldorf,250
Nice,250
Roland Garros,2000
Halle,500
Queen's Club,500
Eastbourne,250
s Hertogenbosch,250
Wimbledon,2000
Newport,250
Bastad,250
Stuttgart,500
Atlanta,250
Hamburg,500
Gstaad,250
Los Angeles,250
Umag,250
Kitzbuhel,250
Washington,250
Canada Masters,1000
Cincinnati Masters,1000
Winston-Salem,250
US Open,2000
Bucharest,250
Metz,250
Bangkok,250
Kuala Lumpur,250
Beijing,500
Tokyo,500
Shanghai Masters,1000
Moscow,250
Stockholm,250
St. Petersburg,250
Vienna,500
Basel,500
Valencia,500
Paris Masters,1000
Tour Finals,1500
Brisbane,250
Chennai,250
Doha,250
Auckland,250
Sydney,250
Australian Open,2000
Montpellier,250
Santiago,250
Zagreb,250
Rotterdam,500
San Jose,250
Sao Paulo,250
Buenos Aires,250
Marseille,250
Memphis,500
Acapulco,500
Delray Beach,250
Dubai,500
Indian Wells Masters,1000
Miami Masters,1000
Casablanca,250
Houston,250
Monte Carlo Masters,1000
Barcelona,500
Bucharest,250
Belgrade,250
Estoril,250
Munich,250
Madrid Masters,1000
Rome Masters,1000
Nice,250
Dusseldorf,250
Roland Garros,2000
Halle,500
Queen's Club,500
s Hertogenbosch,250
Eastbourne,250
Wimbledon,2000
Bastad,250
Newport,250
Stuttgart,500
Umag,250
Atlanta,250
Gstaad,250
Hamburg,500
Kitzbuhel,250
Los Angeles,250
Washington,250
Canada Masters,1000
Cincinnati Masters,1000
Winston-Salem,250
US Open,2000
Metz,250
St. Petersburg,250
Bangkok,250
Kuala Lumpur,250
Beijing,500
Tokyo,500
Shanghai Masters,1000
Moscow,250
Stockholm,250
Vienna,500
Valencia,500
Basel,500
Paris Masters,1000
Tour Finals,1500
Brisbane,250
Chennai,250
Doha,250
Auckland,250
Sydney,250
Australian Open,2000
Montpellier,250
Santiago,250
Zagreb,250
Rotterdam,500
San Jose,250
Sao Paulo,250
Buenos Aires,250
Marseille,250
Memphis,500
Acapulco,500
Delray Beach,250
Dubai,500
Indian Wells Masters,1000
Miami Masters,1000
Casablanca,250
Houston,250
Monte Carlo Masters,1000
Barcelona,500
Bucharest,250
Estoril,250
Munich,250
Madrid Masters,1000
Rome Masters,1000
Dusseldorf,250
Nice,250
Roland Garros,2000
Halle,500
Queen's Club,500
s Hertogenbosch,250
Eastbourne,250
Wimbledon,2000
Bastad,250
Newport,250
Stuttgart,500
Bogota,250
Hamburg,500
Atlanta,250
Gstaad,250
Umag,250
Kitzbuhel,250
Washington,250
Canada Masters,1000
Cincinnati Masters,1000
Winston-Salem,250
US Open,2000
Metz,250
St. Petersburg,250
Bangkok,250
Kuala Lumpur,250
Beijing,500
Tokyo,500
Shanghai Masters,1000
Moscow,250
Stockholm,250
Vienna,500
Basel,500
Valencia,500
Paris Masters,1000
Tour Finals,1500
Brisbane,250
Chennai,250
Doha,250
Auckland,250
Sydney,250
Australian Open,2000
Montpellier,250
Vina del Mar,250
Zagreb,250
Buenos Aires,250
Memphis,500
Rotterdam,500
Delray Beach,250
Marseille,250
Rio de Janeiro,500
Acapulco,500
Dubai,500
Sao Paulo,250
Indian Wells Masters,1000
Miami Masters,1000
Casablanca,250
Houston,250
Monte Carlo Masters,1000
Barcelona,500
Bucharest,250
Estoril,250
Munich,250
Madrid Masters,1000
Rome Masters,1000
Dusseldorf,250
Nice,250
Roland Garros,2000
Halle,500
Queen's Club,500
s Hertogenbosch,250
Eastbourne,250
Wimbledon,2000
Bastad,250
Newport,250
Stuttgart,500
Bogota,250
Hamburg,500
Atlanta,250
Gstaad,250
Umag,250
Kitzbuhel,250
Washington,250
Canada Masters,1000
Cincinnati Masters,1000
Winston-Salem,250
US Open,2000
Metz,250
Kuala Lumpur,250
Shenzhen,250
Beijing,500
Tokyo,500
Shanghai Masters,1000
Moscow,250
Stockholm,250
Vienna,500
Basel,500
Valencia,500
Paris Masters,1000
Tour Finals,1500
Brisbane,250
Chennai,250
Doha,250
Sydney,250
Auckland,250
Australian Open,2000
Montpellier,250
Quito,250
Zagreb,250
Memphis,500
Rotterdam,500
Sao Paulo,250
Delray Beach,250
Marseille,250
Rio de Janeiro,500
Acapulco,500
Buenos Aires,250
Dubai,500
Indian Wells Masters,1000
Miami Masters,1000
Casablanca,250
Houston,250
Monte Carlo Masters,1000
Barcelona,500
Bucharest,250
Estoril,250
Istanbul,250
Munich,250
Madrid Masters,1000
Rome Masters,1000
Geneva,250
Nice,250
Roland Garros,2000
s Hertogenbosch,250
Stuttgart,500
Halle,500
Queen's Club,500
Nottingham,250
Wimbledon,2000
Newport,250
Bastad,250
Bogota,250
Umag,250
Atlanta,250
Gstaad,250
Hamburg,500
Kitzbuhel,250
Washington,250
Canada Masters,1000
Cincinnati Masters,1000
Winston-Salem,250
US Open,2000
Metz,250
St. Petersburg,250
Kuala Lumpur,250
Shenzhen,250
Beijing,500
Tokyo,500
Shanghai Masters,1000
Moscow,250
Stockholm,250
Vienna,500
Basel,500
Valencia,500
Paris Masters,1000
Tour Finals,1500
Brisbane,250
Chennai,250
Doha,250
Auckland,250
Sydney,250
Australian Open,2000
Montpellier,250
Quito,250
Sofia,250
Buenos Aires,250
Memphis,500
Rotterdam,500
Delray Beach,250
Marseille,250
Rio de Janeiro,500
Acapulco,500
Dubai,500
Sao Paulo,250
Indian Wells Masters,1000
Miami Masters,1000
Houston,250
Marrakech,250
Monte Carlo Masters,1000
Barcelona,500
Bucharest,250
Estoril,250
Istanbul,250
Munich,250
Madrid Masters,1000
Rome Masters,1000
Geneva,250
Nice,250
Roland Garros,2000
s Hertogenbosch,250
Stuttgart,500
Halle,500
Queen's Club,500
Nottingham,250
Wimbledon,2000
Bastad,250
Hamburg,500
Newport,250
Gstaad,250
Kitzbuhel,250
Umag,250
Washington,250
Canada Masters,1000
Atlanta,250
Los Cabos,250
Cincinnati Masters,1000
Winston-Salem,250
US Open,2000
Metz,250
St. Petersburg,250
Chengdu,250
Shenzhen,250
Beijing,500
Tokyo,500
Shanghai Masters,1000
Antwerp,500
Moscow,250
Stockholm,250
Basel,500
Vienna,500
Paris Masters,1000
Tour Finals,1500
Brisbane,250
Chennai,250
Doha,250
Auckland,250
Sydney,250
Australian Open,2000
Montpellier,250
Quito,250
Sofia,250
Buenos Aires,250
Memphis,500
Rotterdam,500
Delray Beach,250
Marseille,250
Rio de Janeiro,500
Acapulco,500
Dubai,500
Sao Paulo,250
Indian Wells Masters,1000
Miami Masters,1000
Houston,250
Marrakech,250
Monte Carlo Masters,1000
Barcelona,500
Budapest,250
Estoril,250
Istanbul,250
Munich,250
Madrid Masters,1000
Rome Masters,1000
Geneva,250
Lyon,250
Roland Garros,2000
s Hertogenbosch,250
Stuttgart,500
Halle,500
Queen's Club,500
Antalya,250
Eastbourne,250
Wimbledon,2000
Bastad,250
Newport,250
Umag,250
Atlanta,250
Gstaad,250
Hamburg,500
Kitzbuhel,250
Los Cabos,250
Washington,250
Canada Masters,1000
Cincinnati Masters,1000
Winston-Salem,250
US Open,2000
Metz,250
St. Petersburg,250
Chengdu,250
Shenzhen,250
Beijing,500
Tokyo,500
Shanghai Masters,1000
Antwerp,500
Moscow,250
Stockholm,250
Basel,500
Vienna,500
Paris Masters,1000
Tour Finals,1500
Brisbane,250
Doha,250
Pune,250
Auckland,250
Sydney,250
Australian Open,2000
Montpellier,250
Quito,250
Sofia,250
Buenos Aires,250
New York,250
Rotterdam,500
Delray Beach,250
Marseille,250
Rio de Janeiro,500
Acapulco,500
Dubai,500
Sao Paulo,250
Indian Wells Masters,1000
Miami Masters,1000
Houston,250
Marrakech,250
Monte Carlo Masters,1000
Barcelona,500
Budapest,250
Estoril,250
Istanbul,250
Munich,250
Madrid Masters,1000
Rome Masters,1000
Geneva,250
Lyon,250
Roland Garros,2000
s Hertogenbosch,250
Stuttgart,500
Halle,500
Queen's Club,500
Antalya,250
Eastbourne,250
Wimbledon,2000
Bastad,250
Newport,250
Umag,250
Atlanta,250
Gstaad,250
Hamburg,500
Los Cabos,250
Kitzbuhel,250
Washington,250
Canada Masters,1000
Cincinnati Masters,1000
Winston-Salem,250
US Open,2000
Metz,250
St. Petersburg,250
Chengdu,250
Shenzhen,250
Beijing,500
Tokyo,500
Shanghai Masters,1000
Antwerp,500
Moscow,250
Stockholm,250
Basel,500
Vienna,500
Paris Masters,1000
Tour Finals,1500
Brisbane,250
Doha,250
Pune,250
Auckland,250
Sydney,250
Australian Open,2000
Cordoba,250
Montpellier,250
Sofia,250
Buenos Aires,250
New York,250
Rotterdam,500
Delray Beach,250
Marseille,250
Rio de Janeiro,500
Acapulco,500
Dubai,500
Sao Paulo,250
Indian Wells Masters,1000
Miami Masters,1000
Houston,250
Marrakech,250
Monte Carlo Masters,1000
Barcelona,500
Budapest,250
Estoril,250
Munich,250
Madrid Masters,1000
Rome Masters,1000
Geneva,250
Lyon,250
Roland Garros,2000
s Hertogenbosch,250
Stuttgart,500
Halle,500
Queen's Club,500
Antalya,250
Eastbourne,250
Wimbledon,2000
Bastad,250
Newport,250
Umag,250
Atlanta,250
Gstaad,250
Hamburg,500
Kitzbuhel,250
Los Cabos,250
Washington,250
Canada Masters,1000
Cincinnati Masters,1000
Winston-Salem,250
US Open,2000
Metz,250
St. Petersburg,250
Chengdu,250
Zhuhai,250
Beijing,500
Tokyo,500
Shanghai Masters,1000
Antwerp,500
Moscow,250
Stockholm,250
Basel,500
Vienna,500
Paris Masters,1000
Tour Finals,1500
Atp Cup,250
Doha,250
Adelaide,250
Auckland,250
Australian Open,2000
Cordoba,250
Montpellier,250
Pune,250
Buenos Aires,250
New York,250
Rotterdam,500
Delray Beach,250
Marseille,250
Rio De Janeiro,250
Acapulco,500
Dubai,500
Santiago,250
Cincinnati Masters,1000
US Open,2000
Kitzbuhel,250
Rome Masters,1000
Hamburg,500
Roland Garros,2000
Cologne 1,250
Sardinia,250
St Petersburg,250
Cologne 2,250
Nur-Sultan,250
Vienna,500
Paris Masters,1000
Sofia,250
Tour Finals,1500
Antwerp,500
Delray Beach,250
Antalya,250
Great Ocean Road Open,250
Murray River Open,250
Atp Cup,250
Australian Open,2000
Cordoba,250
Singapore,500
Montpellier,250
